provider,account,service,region,date,cost,currency
aws,1234-5678-9012,AmazonEC2,us-east-1,2026-05-10,41.20,USD
aws,1234-5678-9012,AmazonEC2,us-east-1,2026-05-11,39.80,USD
aws,1234-5678-9012,AmazonEC2,us-east-1,2026-05-12,42.05,USD
aws,1234-5678-9012,AmazonEC2,us-east-1,2026-05-13,40.10,USD
aws,1234-5678-9012,AmazonEC2,us-east-1,2026-05-14,310.00,USD
aws,1234-5678-9012,AmazonEC2,us-east-1,2026-05-15,43.30,USD
aws,1234-5678-9012,AmazonS3,us-east-1,2026-05-10,8.10,USD
aws,1234-5678-9012,AmazonS3,us-east-1,2026-05-11,8.25,USD
aws,1234-5678-9012,AmazonS3,us-east-1,2026-05-12,8.05,USD
aws,1234-5678-9012,AmazonS3,us-east-1,2026-05-13,8.40,USD
aws,1234-5678-9012,AmazonS3,us-east-1,2026-05-14,8.15,USD
aws,1234-5678-9012,AmazonS3,us-east-1,2026-05-15,8.30,USD
azure,sub-aaaa-bbbb,VirtualMachines,eastus,2026-05-10,55.00,USD
azure,sub-aaaa-bbbb,VirtualMachines,eastus,2026-05-11,54.20,USD
azure,sub-aaaa-bbbb,VirtualMachines,eastus,2026-05-12,56.10,USD
azure,sub-aaaa-bbbb,VirtualMachines,eastus,2026-05-13,55.75,USD
azure,sub-aaaa-bbbb,VirtualMachines,eastus,2026-05-14,55.40,USD
azure,sub-aaaa-bbbb,VirtualMachines,eastus,2026-05-15,57.00,USD
azure,sub-aaaa-bbbb,BlobStorage,eastus,2026-05-10,12.00,USD
azure,sub-aaaa-bbbb,BlobStorage,eastus,2026-05-11,12.30,USD
azure,sub-aaaa-bbbb,BlobStorage,eastus,2026-05-12,11.90,USD
azure,sub-aaaa-bbbb,BlobStorage,eastus,2026-05-13,12.10,USD
azure,sub-aaaa-bbbb,BlobStorage,eastus,2026-05-14,12.50,USD
azure,sub-aaaa-bbbb,BlobStorage,eastus,2026-05-15,12.20,USD
gcp,proj-prod-01,ComputeEngine,us-central1,2026-05-10,33.00,USD
gcp,proj-prod-01,ComputeEngine,us-central1,2026-05-11,34.50,USD
gcp,proj-prod-01,ComputeEngine,us-central1,2026-05-12,32.75,USD
gcp,proj-prod-01,ComputeEngine,us-central1,2026-05-13,33.90,USD
gcp,proj-prod-01,ComputeEngine,us-central1,2026-05-14,34.10,USD
gcp,proj-prod-01,ComputeEngine,us-central1,2026-05-15,33.40,USD
gcp,proj-prod-01,CloudStorage,us-central1,2026-05-10,6.00,USD
gcp,proj-prod-01,CloudStorage,us-central1,2026-05-11,6.20,USD
gcp,proj-prod-01,CloudStorage,us-central1,2026-05-12,5.95,USD
gcp,proj-prod-01,CloudStorage,us-central1,2026-05-13,6.10,USD
gcp,proj-prod-01,CloudStorage,us-central1,2026-05-14,6.05,USD
gcp,proj-prod-01,CloudStorage,us-central1,2026-05-15,6.15,USD
